Nome,Descrição,URL,Stars,Forks,Criado Em,Última Atualização,Linguagem,Issues Totais,Issues Fechadas,PRs,Releases
"hello-algo","《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",https://github.com/krahets/hello-algo,115357,14269,2022-11-04 11:08:34,2025-08-13 01:42:14,"Java",270,258,1194,9
"free-programming-books-zh_CN",":books: 免费的计算机编程类中文书籍，欢迎投稿",https://github.com/justjavac/free-programming-books-zh_CN,114947,28356,2013-11-04 01:59:19,2025-08-13 01:49:22,"",0,0,468,3
"langchain","🦜🔗 Build context-aware reasoning applications",https://github.com/langchain-ai/langchain,113398,18574,2022-10-17 02:58:36,2025-08-13 02:20:37,"Jupyter Notebook",8637,8425,18534,945
"node","Node.js JavaScript runtime ✨🐢🚀✨",https://github.com/nodejs/node,112683,32589,2014-11-26 19:57:11,2025-08-13 01:52:16,"JavaScript",19424,17703,37647,454
"d3","Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3,111258,22844,2010-09-27 17:22:42,2025-08-13 01:37:23,"Shell",2228,2220,1198,194
"dify","Production-ready platform for agentic workflow development.",https://github.com/langgenius/dify,110658,16894,2023-04-12 07:40:24,2025-08-13 02:17:03,"TypeScript",12350,11655,8151,140
"free-for-dev","A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",https://github.com/ripienaar/free-for-dev,109822,11328,2015-03-18 21:06:26,2025-08-13 02:18:18,"HTML",0,0,3645,0
"three.js","JavaScript 3D Library.",https://github.com/mrdoob/three.js,108066,35954,2010-03-23 18:58:01,2025-08-13 01:29:37,"JavaScript",13149,12711,18263,171
"axios","Promise based HTTP client for the browser and node.js",https://github.com/axios/axios,107387,11186,2014-08-18 22:30:27,2025-08-13 02:12:47,"JavaScript",4842,4427,1865,97
"open-webui","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,106419,14355,2023-10-06 22:08:27,2025-08-13 02:03:59,"JavaScript",6070,5859,4053,119
"rust","Empowering everyone to build reliable and efficient software.",https://github.com/rust-lang/rust,105725,13642,2010-06-16 20:39:03,2025-08-13 02:18:11,"Rust",59117,48462,85672,140
"TypeScript","TypeScript is a superset of JavaScript that compiles to clean JavaScript output.",https://github.com/microsoft/TypeScript,105593,12956,2014-06-17 15:28:39,2025-08-13 01:06:22,"TypeScript",42421,36841,18686,212
"excalidraw","Virtual whiteboard for sketching hand-drawn like diagrams",https://github.com/excalidraw/excalidraw,105285,10546,2020-01-02 01:04:43,2025-08-13 02:11:11,"TypeScript",4227,2399,5159,14
"nodebestpractices",":white_check_mark:  The Node.js best practices list (July 2024)",https://github.com/goldbergyoni/nodebestpractices,103913,10575,2017-09-15 08:33:19,2025-08-13 02:16:13,"Dockerfile",328,285,966,0
